tweet	label
ottawa shooting: how events unfolded, first shots fired at 9:52 a.m. at the war memorial URL URL	0
the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL	0
the first general killed in a combat zone since vietnam, it is a travesty that obama did not attend major general harold greene’s funeral	1
updated | attacker shot dead in parliament after soldier shot at national war memorial: URL #cbcott #ottnews	0
look: @whitehouse lights up in rainbow colors to celebrate #scotus same-sex marriage ruling URL	0
.@hillaryclinton not talking about ’92 clinton-gore confederate campaign button URL URL	1
new audio recording reveals shots, pause, more shots at mike brown killing.more shots than 6 fired. URL	0
update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL	1
malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL	1
breaking: soldier shot at war memorial in ottawa, hill on lockdown, shooter at large URL #ottnews	0
oregon community helps mother after boy punished for being tardy due to vehicle problems: URL URL	0
who got violent? pregnant woman shot by #ferguson cop while sitting in car tuesday, loses eye: URL URL	0
"the myth of zouheir, a ""hero muslim security guard"" in paris URL (via @bbctrending) URL"	1
"15 year old who ""swatted"" gamer convicted of domestic terrorism; 25 years to life in federal prison URL"	1
the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!	1
this week's top story: george zimmerman wins florida state lottery URL	1
update: photo of suspect, alton nolen, in moore, okla. beheading released. URL URL	0
#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!	1
by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite.	1
beheading suspect attended same mosque as 9/11 terrorist: moore, oklahoma -- alton nolen, the man who beheaded... URL	0
live updates: siege in sydney cafe URL	0
white house #shutdown URL , but are posting alerts on him getting a sandwich. URL	1
a list of overnight arrests in ferguson shows a much higher number than officials reported URL URL	1
microsoft is reportedly buying 'minecraft' developer mojang for $2 billion URL	0
donald trump and adolf hitler. two sides of the same coin. #racism #fascism URL	1
some iphone 6 plus owners accidentally bending their iphones in pockets URL by @kellyhodgkins	1
.@eamaddennfl successfully predicted the final score of #sb49. yes, it's true: URL URL	0
"last picture of paul walker taken before his death in a car crash.#rippaulwalker fast & furious won't be same w/o u. URL """	0
watch live: as sun goes down, white house lights up rainbow colors to celebrate scotus ruling URL URL	0
so paul walker is still alive ? dead or alive sia ?! #paulwalker URL	0
72 dhs employees on terrorist watch list URL via @kredo0 URL	1
breaking news: isis beheads a british hostage david haines in message to america's partners. URL	0
religious subjugation? u.s. troops in bahrain getting ramadan training. URL #tcot	1
charlie hebdo shooting latest: 12 dead and gunmen still at large URL URL	0
up to 34 million green cards and work permits... URL	1
#workplace hero shoots #altonnolen #stabbings #beheading priors drugs/manhunt, recent radical convert #judicialgrinds URL	0
