label,tweet_id,tweet,length,#URLs,#mentions,#hashs,verified,#followers,user_engagement,sentiment_score
1,489800427152879616,malaysia airlines says it lost contact with plane that was flying in ukrainian airspace URL URL,95,2,0,0,1,15375121,72.56746914829051,-0.3182
1,560474897013415936,for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support @dtfa. URL,118,1,1,0,1,3673898,55.2943331704934,0.8398
0,524928119955013632,"police say they have located car belonging to suspect in #ottawa shooting. uniformed soldier shot at war memorial, condition unknown.",133,0,0,1,1,1274260,32.03338781228111,-0.7269
1,518830518792892416,mexico security forces hunting 43 missing students after clashes with police find mass grave URL,96,1,0,0,1,13955752,64.54889589905363,-0.34
1,551117430345711616,news saudi arabia's national airline planning to introduce gender segregation on flights URL URL,96,2,0,0,1,189683,24.726166328600407,0.0
0,407193347279699968,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL",95,1,0,0,1,3743709,26.76509433962264,-0.7845
1,506784541696991232,"47 days after his plane was shot down over ukraine, #mh17 pilot laid to rest URL URL",84,2,0,1,1,7427356,55.13650239860445,0.0
1,524881688825167872,"after speculation that he’s been arrested, banksy debuts new mural in bristol URL URL",85,2,0,0,1,1943736,12.42622180451128,-0.4767
1,542860306603868160,"very helpful to know that not only was douche harvard prof ben edelman a racist, but his students were, too==> URL",114,1,0,0,1,2187016,24.57826970860628,0.0262
1,489798752438583297,malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL,79,2,0,0,0,19926,1.3736328702335203,0.0
0,524941504796962816,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",100,2,0,0,1,2888852,48.91311475409836,-0.7845
1,534409916560461825,a world without chocolate?! two of the world's biggest chocolate makers could face a shortage: URL URL,102,2,0,0,1,7439788,55.38243123336291,-0.3164
0,524976526891417600,"the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL",120,1,0,0,1,57226822,13.943715194908512,-0.8176
0,524948703850029056,breaking news: ottawa police confirm at least 3 separate shooting sites and multiple suspects - URL,99,1,0,0,0,235241,18.79767779390421,-0.34
0,407218583135997953,"r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL",77,1,0,0,0,569,5.675682144566778,-0.5574
1,543443188934250496,"one day, we will see our animals again in the eternity of christ, pope francis said to a boy whose dog died URL",111,1,0,0,1,46022746,82.54247181964573,-0.5574
1,273182568298450945,42 million dead in bloodiest black friday weekend on record URL,63,1,0,0,1,11422844,16.157139752227778,-0.6486
1,534763214106820608,"the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL",91,2,0,0,1,3162647,222.06895761741123,-0.1027
1,528389559441444864,"#obama says ""america doesn't want any stay-at-home-moms! enough is enough! #fireobama now! URL URL",98,2,0,2,0,233240,40.85229132569558,-0.2728
1,538412662858588160,"mike brown murder trial witness, #deandrejoshua fatally shot & set on fire after verdict #deandrejoshua URL",107,1,0,2,0,1531837,53.45533141210375,-0.8934
0,524959836778536961,update: ottawa police confirm gunman in canada shooting shot and killed. search on for possible additional gunmen. URL,118,1,0,0,1,7438847,55.37976929902396,-0.6705
0,527308173112139776,matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well. URL,100,1,0,0,1,483142,2.6585268214571656,0.886
0,407290871856369664,"r.i.p paul walker, why are people making jokes about his death? not funny at all!",81,0,0,0,0,876305,2.3113622096672946,-0.6806
1,519965814175567872,a vandal painted a brilliantly simple penis on a $2 million bugatti veyron ( URL ) URL,86,2,0,0,1,1314861,20.070093457943926,0.6124
1,356437941641416705,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good,99,0,0,0,0,11672,6.478674140872532,-0.1531
0,407192370040803329,remembering paul walker: URL URL,32,2,0,0,1,6786253,51.82895354293759,0.0
1,489902412900343809,update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL,98,2,0,1,1,9791437,76.21597096188748,-0.1531
0,407188779255222273,paul walker remembered: celebs react to 'fast and furious' star's death URL,75,1,0,0,1,6650218,58.20481380563125,-0.8225
