label,tweet_id,tweet,length,#URLs,#mentions,#hashs,verified,#followers,#replies,#retweets,#tweets,#favourites,account_age,user_engagement,sentiment_score
0,615689290706595840,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,96,1,1,1,1,2718461,50,264,20582,500,2216,9.655234657039712,0.0
1,613404935003217920,cops bought the alleged church shooter burger king hours after killings URL,75,1,0,0,1,11232698,36,88,615466,27,2616,235.3275993883792,-0.6705
1,622891631293935616,#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,96,2,0,3,0,155313,14,112,302421,67,2305,131.28590021691974,-0.34
0,553589051044151296,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,83,1,0,1,1,199664,7,138,36560,20,823,44.62332928311057,0.4019
0,553590835850514433,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",77,2,0,1,1,8278077,16,184,563067,81,2731,206.2790186744782,-0.6705
1,656870311057575936,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,95,2,0,1,1,18607371,2,196,441498,151,2160,204.5587962962963,0.34
0,616311563071434753,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,98,2,0,0,1,163810,30,428,23886,366,2288,10.799825174825175,0.0
0,525060425184858112,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",119,1,0,0,1,64119860,43,294,78834,204,2850,27.850877192982455,-0.6705
1,672513234419638273,thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL,97,2,0,0,1,17764563,36,107,403483,144,2434,165.8874281018899,0.0
0,544382892378714113,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,78,2,1,0,1,1409024,5,97,212296,108,727,292.3053645116919,0.1779
1,626898253900943360,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,121,1,0,0,0,904411,27,1274,39271,1924,1233,34.465531224655315,-0.7717
1,618804516578680832,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,83,2,1,0,1,60824712,28,199,392532,168,3071,127.9475740801042,-0.2263
1,672632899921833984,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,100,2,0,0,0,105402,63,196,690197,126,1090,633.5614678899083,0.0
0,553588178687655936,reports: #charliehebdo suspects killed URL,42,1,0,1,1,11232698,7,164,615466,63,2451,251.20359037127702,-0.7845
1,613016993692798977,police chief says dylann roof was taken to burger king shortly after arrest URL,79,1,0,0,1,216506,9,109,247060,26,821,301.10109622411693,-0.34
